Tracing route to georgebrown.ca [99.79.139.11]
over a maximum of 30 hops:

  1     2 ms     3 ms     7 ms  RT-AC3100-4C40.lan [192.168.1.1]
  2    14 ms     9 ms    20 ms  99.238.34.1
  3    18 ms    14 ms    23 ms  69.63.254.229
  4    15 ms    21 ms    17 ms  69.63.249.165
  5    28 ms    21 ms    11 ms  209.148.235.218
  6     *        *        *     Request timed out.
  7    20 ms    19 ms    15 ms  52.93.3.122
  8    18 ms    19 ms    17 ms  52.93.3.129
  9     *        *        *     Request timed out.
 10    24 ms    21 ms    24 ms  52.94.82.104
 11    24 ms    17 ms    19 ms  52.94.83.141
 12    27 ms    30 ms    24 ms  52.94.83.156
 13    35 ms    24 ms    23 ms  52.94.82.141
 14    31 ms    25 ms    25 ms  52.94.81.48
 15     *        *        *     Request timed out.
 16     *        *        *     Request timed out.
 17     *        *        *     Request timed out.
 18     *        *        *     Request timed out.
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21    26 ms    28 ms    27 ms  ec2-99-79-139-11.ca-central-1.compute.amazonaws.com [99.79.139.11]
